image,sentences,labels,link,evidence,ocr_text
2254.jpg,"['55 countries are reported to be at risk, with three dozen succumbing to crisis-level famines or above in the worst-case scenario', '265 million people are forecast to be in famine conditions, an increase of 125 million due to the coronavirus pandemic', 'the pandemic has severely impacted educational systems globally', 'most governments have temporarily closed educational institutions, with many switching to online education', 'as of 30 september 2020, approximately 1', '077 billion learners are currently affected due to school closures in response to the pandemic', 'according to unicef monitoring, 53 countries are currently implementing nationwide closures and 27 are implementing local closures, impacting about 61', ""6 percent of the world's student population""]","[0, 0, 1, 1, 1, 1, 1, 1]",,,"8 YEAR OLDS
CORONA
NOT HAVING
GLOBAL
TO GO TO
PANDEMIC
SCHOOL OR CHURCH
imgflip.com
"
1510.jpg,"['in september 2007, a non-binding resolution endorsing the plan passed the senate, but the idea was unfamiliar, had no political constituency, and failed to gain traction', ""iraq's political leadership denounced the resolution as de facto partitioning of the country, and the u"", 's', 'embassy in baghdad issued a statement distancing itself from it', 'in may 2008, biden sharply criticized president george w', 'bush\'s speech to israel\'s knesset in which bush compared some democrats to western leaders who appeased hitler before world war ii; biden called the speech ""bullshit"", ""malarkey"", and ""outrageous""', 'he later apologized for his language', 'after exploring the possibility of a run in several previous cycles, in january 2007, biden declared his candidacy in the 2008 elections', 'during his campaign, biden focused on the iraq war, his record as chairman of major senate committees, and his foreign-policy experience']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"MY RECORD SPEAKS FOR ITSELF.
YOU WON'T
RELEASE YOUR RECORDS.
"
2695.jpg,"['overall, the economy expanded at a rate of 2', '9 percent in 2010', ""the congressional budget office (cbo) and a broad range of economists credit obama's stimulus plan for economic growth"", 'the cbo released a report stating that the stimulus bill increased employment by 1–2', '1 million, while conceding that ""it is impossible to determine how many of the reported jobs would have existed in the absence of the stimulus package', '"" although an april 2010, survey of members of the national association for business economics showed an increase in job creation (over a similar january survey) for the first time in two years, 73 percent of 68 respondents believed the stimulus bill has had no impact on employment', 'the economy of the united states has grown faster than the other original nato members by a wider margin under president obama than it has anytime since the end of world war ii', 'the organisation for economic co-operation and development credits the much faster growth in the united states to the stimulus plan of the u', 's']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"EIGHT YEARS OF WAR
LOWEST ECONOMIC GROWTH IN AMERICAN HISTORY
RECORD NUMBER OF FOOD STAMP RECIPIENTS
RECORD NUMBER OF MASS SHOOTINGS
RECORD HIGH HEALTH INSURANCE COSTS
DOUBLED THE NATIONAL DEBT
REGRESSED RACE RELATIONS 50 YRS
HIGHEST POVERTY LEVEL IN AMERICAN HISTORY
THIS IS WHAT LIBERALSCAL SUCCESS""
"
41.jpg,"['In 2015-16, Blavatnik’s contributions went to GOP PACs and top Republican leaders, including McConnell, according to FEC records.While Blavatnik certainly donated a lot of money to McConnell’s committee, he is nowhere near the majority leader’s highest contributor.', 'In April 2018, the Trump administration announced sanctions on multiple Russian oligarchs and their companies.', 'Then, in December, the administration agreed to lift the sanctions.', 'About a month later, McConnell led Senate Republicans and blocked a Democratic effort to keep the sanctions.', 'The Russian government interfered in the 2016 U.S. presidential election with the goals of harming the campaign of Hillary Clinton, boosting the candidacy of Donald Trump.']","[1, 0, 0, 0, 1]",https://www.politifact.com/factchecks/2019/feb/14/facebook-posts/fact-checking-claim-mitch-mcconnells-biggest-donor/,"In 2015-16, Blavatnik’s contributions went to GOP PACs and top Republican leaders, including McConnell, according to FEC records.While Blavatnik certainly donated a lot of money to McConnell’s committee, he is nowhere near the majority leader’s highest contributor.   The Russian government interfered in the 2016 U.S. presidential election with the goals of harming the campaign of Hillary Clinton, boosting the candidacy of Donald Trump.","I COVERED UP RUSSIAN
INVOLVEMENT IN THE ELECTION
SO I APPOINTED HIS WIFE
TO MY CABINET
"
1856.jpg,"['on december 10, 2020, biden and harris were jointly named time person of the year', 'in march 2019 and april 2019, biden was accused by eight women of previous instances of inappropriate physical contact, such as embracing, touching or kissing', 'biden had previously described himself as a ""tactile politician"" and admitted this behavior has caused trouble for him', 'in april 2019, biden pledged to be more ""respectful of people\'s personal space""']","[0, 1, 1, 1]",,,"Have I ever told you how
good your hair Smells?
"
2476.jpg,"['mueller also investigated trump for obstruction of justice and neither indicted nor exonerated him', 'the house of representatives impeached trump in december 2019 for abuse of power and obstruction of congress after he solicited ukraine to investigate joe biden', 'the senate acquitted him of both charges in february 2020', 'trump lost the 2020 presidential election to biden, but refused to concede defeat', 'he attempted to overturn the results by making false claims of electoral fraud, pressuring government officials, mounting scores of unsuccessful legal challenges and obstructing the presidential transition', 'on the day congress met to tally the electoral votes, january 6, 2021, trump rallied his supporters and told them to march to the capitol', 'when they arrived, hundreds of them broke through security barricades and stormed the capitol, resulting in the deaths of five people and forcing congress to evacuate', 'seven days later, the house impeached trump for incitement of insurrection, making him the only federal office holder in american history to be impeached twice']","[0, 0, 0, 1, 1, 0, 0, 0]",,,"January 20th, 2021....
...The end of an error
"
1731.jpg,"['president, was not born in the united states', 'in april 2011, trump claimed credit for pressuring the white house to publish the ""long-form"" birth certificate, which he considered fraudulent, and later saying this made him ""very popular""', 'in september 2016, amid pressure, he acknowledged that obama was born in the u', 's', 'and falsely claimed the rumors had been started by hillary clinton during her 2008 presidential campaign', 'in 2017, he reportedly still expressed birther views in private', 'according to an analysis in political science quarterly, trump made ""explicitly racist appeals to whites"" during his 2016 presidential campaign', 'in particular, his campaign launch speech drew widespread criticism for claiming mexican immigrants were ""bringing drugs, they\'re bringing crime, they\'re rapists', '"" his later comments about a mexican-american judge presiding over a civil suit regarding trump university were also criticized as racist']","[0, 0, 0, 0, 0, 0, 0, 1, 1]",,,"HELLO OBAMA
TYPD
CAN YOU CALL MEXICO AND TELL
THEMI AM SORRY
"
2496.jpg,"['on november 10, 2014, president obama recommended the federal communications commission reclassify broadband internet service as a telecommunications service in order to preserve net neutrality', 'on february 12, 2013, president obama signed executive order 13636, ""improving critical infrastructure cybersecurity""', 'in 2005 and 2006, obama criticized certain aspects of the patriot act for infringing too much on civil liberties and sought as senator to strengthen civil liberties protections', 'in 2006, he voted to reauthorize a revised version of the patriot act, saying the law was not ideal but that the revised version had strengthened civil liberties', 'in 2011, he signed a four-year renewal of the patriot act', 'following the 2013 global surveillance disclosures by whistleblower edward snowden, obama condemned the leak as unpatriotic, but called for increased restrictions on the nsa to address violations of privacy', 'the changes which obama ordered have been described as ""modest"" however']","[0, 0, 0, 0, 0, 1, 1]",,,"AND THEN I TOLD THEM
WHISTLE BLOWERS SHOULD BE
THANKED AND PROTECTED
"
3149.jpg,"['Schlieffen Plan, battle plan first proposed in 1905 by Alfred, Graf (count) von Schlieffen, chief of the German general staff, that was designed to allow Germany to wage a successful two-front war.', 'The plan was heavily modified by Schlieffen’s successor, Helmuth von Moltke, prior to and during its implementation in World War I. Moltke’s changes, which included a reduction in the size of the attacking army, were blamed for Germany’s failure to win a quick victory.', 'Schlieffen was an ardent student of military history, and his strategic plan was inspired by the Battle of Cannae (216 bce), a pivotal engagement during the Second Punic War.']","[1, 0, 0]",https://www.britannica.com/event/Schlieffen-Plan,"Schlieffen Plan, battle plan first proposed in 1905 by Alfred, Graf (count) von Schlieffen, chief of the German general staff, that was designed to allow Germany to wage a successful two-front war.","Germany: *Attempts the Schlieffen
Plan*
*
Belgium:
The
United
Kingdom
The
United
Kingdom
"
223.jpg,"[""The US government has warned for years that products from China's Huawei Technologies Co, the world's biggest maker of telecommunications equipment, pose a national security risk for any countries that use them."", 'As Washington has waged a global campaign to block the company from supplying state-of-the-art 5G wireless networks, Huawei and its supporters have dismissed the claims as lacking evidence.The incident substantiated suspicions in both countries that China used Huawei equipment as a conduit for espionage.']","[0, 0]",https://www.ndtv.com/world-news/how-china-used-huawei-in-secret-australia-telecom-hack-report-2656051,The incident substantiated suspicions in both countries that China used Huawei equipment as a conduit for espionage.,"when you see a lot of
tiananmen square memes
on your Huawei phone
Now all of China knows you're here.
"
1535.jpg,"['in his first visit to the state department as president, biden said ""this war has to end"" and that the conflict had created a ""humanitarian and strategic catastrophe""', 'on february 25, the biden administration ""struck a site in syria used by two iranian-backed militia groups in response to rocket attacks on american forces in the region in the past two weeks""', 'this marked the first known action by the military under biden', ""on april 14, biden announced that the united states would delay the withdrawal of all troops from the war in afghanistan until september 11 of that year, ending the country's direct military involvement in afghanistan after 20 years"", 'the decision, changing an upcoming may target set by the trump administration, met with a wide range of reactions, from support and relief to trepidation at the possible collapse of the afghan government without american support', 'on march 11, the first anniversary of covid-19 being declared a global pandemic by the world health organization, biden signed into law the american rescue plan act of 2021, a $1', ""9 trillion economic stimulus relief package he proposed and lobbied for that aimed to speed up the united states' recovery from the economic and health effects of the covid-19 pandemic and the ongoing recession"", 'the package included direct payments to most americans, an extension of increased unemployment benefits, funds for vaccine distribution and school reopenings, support for small businesses and state and local governments, and expansions of health insurance subsidies and the child tax credit', ""biden's initial proposal included an increase of the federal minimum wage to $15 per hour, but after senate parliamentarian elizabeth macdonough determined that including the increase in a budget reconciliation bill would violate senate rules, democrats declined to pursue overruling her and removed the increase from the package""]","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"Biden: I'm all for making the
minimum age 15, like Bernie!
Obama: Joe, he said WAGE.
Minimum WAGE!
"
2823.jpg,"['over twelve years, trump posted around 57,000 tweets', 'trump frequently used twitter as a direct means of communication with the public, sidelining the press', ""a white house press secretary said early in his presidency that trump's tweets were official presidential statements, used for announcing policies and personnel changes"", ""trump's tweets often contained falsehoods, eventually causing twitter to tag some trump tweets with fact-checking warnings beginning in may 2020"", 'trump responded by threatening to ""strongly regulate"" or ""close down"" social media platforms', 'in the days after the 2021 storming of the united states capitol, trump was banned from facebook, instagram, twitter and other platforms', ""twitter blocked attempts by trump and his staff to circumvent the ban through the use of others' accounts"", ""the loss of trump's social media megaphone, including his 88"", '7 million twitter followers, diminished his ability to shape events, and prompted a dramatic decrease in the volume of misinformation shared on twitter']","[0, 0, 0, 1, 1, 1, 1, 1, 1]",,,"I NEED TO SPEAK TO THE
11
LEISE
MANAGER OFTWITTER
"
1617.jpg,"['more than 29,000,000 confirmed cases have been reported in the united states since january 2020, resulting in more than 527,000 deaths, the most of any country and the ninth-highest per capita', 'the u', 's', ""has nearly a quarter of the world's cases and a fifth of all deaths"", 'more americans have died from covid-19 than during world war ii', 'covid-19 became the third leading cause of death in the u', 's', 'in 2020, behind heart disease and cancer', 'u', 's']","[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",,,"Flattening the
curve
horizontally
Flattening the
curve vertically
"
991.jpg,"['In Avengers: Infinity War, Drax foolishly believed he was invisible.', 'But there may be more to his invisibility shtick than meets the eye.', 'There is a seemingly endless amount of things to praise about 2018 s Avengers: Infinity War, with one of them being the prominent inclusion of the Guardians of the Galaxy.', 'The way these characters were able to bounce off of the existing Earth-bound MCU Avengers was seamless, to say the least, and they created an entirely new dynamic that had not been seen in the Infinity Saga up to that point.', 'Their inclusion in the film led to some of the team s truly funniest moments, including Drax s invisibility.']","[1, 0, 0, 0, 0]",https://www.cbr.com/mcu-fan-theory-why-drax-thought-he-was-invisible/,,"YOU KNOW YOU ARE A GOOD LEADER
STAWI
WHEN YOU GET 100% OF ALL VOTES
IN YOUR TOTALLY DEMOCRATIC ELECTION
"
581.jpg,"['It was the site of the Panjshir offensives fought by the Democratic Republic of Afghanistan and the Soviets against the mujahideen during the Soviet–Afghan War from 1980 to 1985, when local commander Ahmad Shah Massoud successfully defended the valley.', 'The valley again witnessed renewed fighting during the 1996–2001 civil war between the Taliban and the Northern Alliance under the command of Massoud, where he again defended it from being overrun by the Taliban.', ""The Panjshir Valley was considered one of Afghanistan's safest regions during the era of the ISAF-backed government and in late August 2021, Warlords tried to make the valley a bastion of resistance to the Taliban in Afghanistan."", 'The Taliban announced that hundreds of fighters were headed towards the valley on 22 August 2021.']","[1, 0, 0, 0]",https://en.wikipedia.org/wiki/Panjshir_Valley,"It was the site of the Panjshir offensives fought by the Democratic Republic of Afghanistan and the Soviets against the mujahideen during the Soviet–Afghan War from 1980 to 1985, when local commander Ahmad Shah Massoud successfully defended the valley. ","The Taliban after taking over Afghanistan in
1996: ""Surrender Panjshir Valley to us now!""
Ahmad Shah Massoud and his Northern
Alliance fighters:
No
"
1789.jpg,"[""on december 22, 2010, obama signed the don't ask, don't tell repeal act of 2010, which fulfilled a key promise made in the 2008 presidential campaign to end the don't ask, don't tell policy of 1993 that had prevented gay and lesbian people from serving openly in the united states armed forces"", 'in 2016, the pentagon also ended the policy that barred transgender people from serving openly in the military', 'as a candidate for the illinois state senate in 1996, obama had said he favored legalizing same-sex marriage', 'by the time of his senate run in 2004, he said he supported civil unions and domestic partnerships for same-sex partners but opposed same-sex marriages', 'in 2008, he reaffirmed this position by stating ""i believe marriage is between a man and a woman', 'i am not in favor of gay marriage', '"" on may 9, 2012, shortly after the official launch of his campaign for re-election as president, obama said his views had evolved, and he publicly affirmed his personal support for the legalization of same-sex marriage, becoming the first sitting u', 's', 'president to do so']","[0, 0, 1, 1, 1, 1, 0, 1, 0]",,,"""I do not support gay
marriage. Marriage has
religious and social
connotations, and I
consider marriage to
be between a man
and a woman.""
Barack Obama, 2008
Photos Newscom
Homophobe politician caught
speaking against gay marriage.
What a BIGOT!
"
1784.jpg,"['at another point last week, trump said: ""biden’s son walks out of china with $1', '5 billion in a fund, and the biggest funds in the world can’t get money out of china, and he’s there for one quick meeting and he flies in on air force two, i think that’s a horrible thing', 'i think it’s a horrible thing""', ""but much like the president's ukraine conspiracy theories, the serious accusations that trump and his allies, including personal attorney rudy giuliani, have leveled against the bidens with regard to china are unsupported"", ""all the details of hunter biden's business dealings aren't known, since he has always been a private citizen, but there’s no evidence of wrongdoing on behalf of either biden"", 'trump and his allies has yet to offer evidence of the claims, while the former vice president has said the president is the one who is corrupt', 'the friendship and mutual admiration of the two have been the subject of news during the last eight years of obama’s presidency', 'recently, a series of photos depicting their epic ‘bromance’ went viral on social media and believe it or not, the pictures were adorable', 'right from biden-obama’s awesome post-retirement video, there has been the onslaught of barack-joe memes that has rocked the internet']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"Biden - ""funny relatable suggestion
about the White House""
Obama - ""voice of reason""
Biden- uncharacteristically sassy
response""
"
1121.jpg,"[""North Korea's state media confirmed on Monday what was surely never in doubt a 100 percent, no-abstention victory for leader Kim Jong Un in the country's stage-managed parliamentary election."", 'Every single registered elector had turned out to vote, the state-run Korea Central News Agency reported, ""except for those on foreign tour or working in oceans.""', ""The country's young leader personally stood for election in the symbolic Mount Paektu district."", ""It was there, according to family legend, that Kim's grandfather led the fight against Japanese imperialism and where Kim's father was later born.""]","[1, 0, 0, 0]",https://www.nbcnews.com/news/world/kim-jong-un-wins-100-votes-north-korea-election-n49011,,"BEING AN ENGINEERING STUDENT
I miss girls.
More furny pictures et funnypicsplus.com
"
2173.jpg,"['joe biden is 77, four years older than reagan was during the 1984 campaign', 'if biden is elected, he’ll be older on the day he takes office than reagan was on the day he left office', 'so yes, his mental fitness is a legitimate issue', 'there is plenty of cause for concern', 'biden recently announced “i think we can win back the house” and promised to ban the “ar-14', '” he mistook super tuesday for “super thursday,” and forgot the words of the declaration of independence, saying “we hold these truths to be self-evident', 'all men and women are created, by the, you know, you know the thing', '” in south carolina, he misstated what office he was running for, declaring “my name’s joe biden', 'i’m a democratic candidate for the united states senate', '” on three occasions last month, biden declared he was arrested in south africa trying to visit nelson mandela in prison — an incident his campaign later admitted never happened', 'he earlier described meeting a navy captain in afghanistan, but the post reported that “almost every detail in the story appears to be incorrect', '” he claimed to have worked with chinese leader “deng xiaoping” on the paris climate accord (deng died in 1997)/', 'he claimed during a debate that “150 million people have been killed [by guns] since 2007” (which would be nearly half the u', 's']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"IN A DEMOCRACY
Anybody can qople beddet
Anybody w Does grow up can be vice president
Ance
"
1214.jpg,"['The officially stated goals of the foreign policy of the United States of America, including all the Bureaus and Offices in the United States Department of State, as mentioned in the Foreign Policy Agenda of the Department of State, are ""to build and sustain a more democratic, secure, and prosperous world for the benefit of the American people and the international community"".', 'In addition, the United States House Committee on Foreign Affairs states as some of its jurisdictional goals: ""export controls, including nonproliferation of nuclear technology and nuclear hardware; measures to foster commercial interaction with foreign nations and to safeguard American business abroad; international commodity agreements; international education; and protection of American citizens abroad and expulsion"".', 'U.S. foreign policy and foreign aid have been the subject of much debate, praise, and criticism, both domestically and abroad.']","[1, 0, 0]",https://en.wikipedia.org/wiki/Foreign_policy_of_the_United_States,,"FOOD: *FALLS OFF PLATE*
MICROORGANISMS (5 SECONDS LATER):
Su 150
.
imgflip.com
"
